id,tweet,subtask_a
1172,"@user οι μουσουλμανες που τις βιαζουν ετσι κ αλλιως, οποτε τις βολευει να κυνηγουν εμας κ να αφησουν αυτες ησυχες οι αντρες τους.",OFF
4078,η κατια προσπαθει να πεισει οτι δεν ειναι ελεφαντας #gynaikaxwrisonoma,NOT
135,"καλα γιατι λες οτι, εισαι νεος αφου γεννηθηκες το 39; ναι αλλα, στις 29 φεβρουαριου κι' εχω γενεθλια καθε τεσσερα χρονια οποτε;",NOT
9056,με φατσεα ξεκινησαμε...... #kokkinopotami,NOT
5344,"#gntmgr κατια ποσο γλυκια, εμετος",NOT
4007,οι γυναικες χρειαζονται περισσοτερο υπνο γιατι εχουν πιο συνθετο εγκεφαλο,NOT
7760,@user και οι μαλακες που δικαιολογησαν τον μπατσο επισης,OFF
6432,@user και αντρες και γυναικες αν θελουν να στη κανουν.....,NOT
4593,@user εσυ εισαι η μονη σωστη εδω μεσα! στους αλλους αναφερομαι που σου κανουν επιθεση. στους φασιστες χρυσαυγιτες,NOT
3389,@user το οτι αυτο εγινε πολυ μα πολυ αργοτερα απο το ελληνικο βασιλειο των μακεδονων το ξερεις; επισης δεν εχει χαλασει το εθνος θες δεν θες... αλλο αν εσυ δεν εισαι ελληνιδα.,NOT
9046,@user αυτη ειναι αυστηρως απαγορευμενη στο σπιτι να ξαναπαιξει. βαλαντωσαν οι κορες μου και η γυναικα μου. εγω φυσικα ως σκληρο αντρακι κρατηθηκα. μεχρι που εβγαλα τα σκυλια βολτα και ...οταν δεν κοιτουσε κανενας...... ηταν μεγαλη η βολτα...,NOT
7287,οταν δεν εχεις που να βαλεις το drone #gntmgr,NOT
1565,"@user φευγω μεταναστης σε χωρα με βασιλια,περιμενω να πεθανετε ολοι απο καρκινο, γυρναω ψηφιζω αλεξαρο. παλι νικη της αριστερας.",OFF
401,"αν εισαι αναποφασιστος, το παρακατω video μπορει να σου δωσει το κινητρο που χρειαζεσαι για να επιλεξεις. #nd_xeftiles",NOT
7258,το #gntmgr κρατα τρεις μηνες μονο για να μη φαινεται η κοιλια αν γκαστρωθει καποια κοπελα.,OFF
3055,@user εισαι αστερι βρε κατερινα. και κουκλα εκτος απο φοβερη αθλητρια και φοβερος ανθρωπος. παντα και μονο επιτυχιες ευχομαι.,NOT
3251,χαιρομαι ιδιαιτερα που ο ελληνικος λαος ενισχυσε γενναιοδωρα τη δεινοπαθουσα οικογενεια μητσοτακη η οποια ευρισκομενη σε δυσχερεστατη οικονομικη θεση ζητιανευε εως τωρα στα σκαλια της εκκλησιας. ευγε του #εκλογες_2019 #νδ_ξεφτιλες,NOT
2115,#νδ_ξεφτιλες ο ορισμος της αντικειμενικης δημοσιογραφιας του #σκαι ξεφτιλες,NOT
380,"@user δεν ειναι καν ψηφος διαμαρτυριας. εβλεπαν καναλια, εφημεριδες, παπαδες, τεσσερα χρονια να λενε αλεξης ο ψευτης, ο μπηξε, ο δειξε, δεν εβλεπαν, δεν ακουγαν συριζα γυρω τους, σου λενε τοσο μαλακες που ειναι να μην απαντανε, κατι θα ισχυει απ' ολα αυτα.",OFF
9013,λενε οτι τραγουδανε απο τα 3 και 4 λες και ειχαν συναισθηση τοτε οτι τραγουδουσαν #thevoicegr,NOT
770,@user γενικα οι γυναικες το δυναμικο κ το ομορφο ακομα κ αν ιδιες ανηκουν σε αυτη την κατηγορια δεν το δεχονται.βγαζουν κακια.κ τωρα που υποστηριζουν τερμα νταμλα το κανουν επειδη ειναι το αντιπαλο δεος της κατ.αν ας πουμε η νταμλα εβγαζε φωτο με ντανο γκοτση θα την εριχναν στην πυρα.,OFF
1474,"τα χομπιτ βαφονται αλλου, δεν το εχει προβλεψει η παραγωγη #shoppingstar",NOT
3357,#masterchefgr_xeftiles οταν ετοιμαζεσαι να σε παρουν οι 4 κι ο ενας νεκροθαφτης εχει ρεπο,NOT
4189,@user εισαι εντελως τοπου και χρονου συγκρινεις καποιον που αναστησε την ελλαδα απο την σταχτη -κυριολεκτικα με εναν τυχαρπαστο μισελληνα που απλα διελυσε τα παντα οπου και αν ασχοληθηκε χρειαζεσαι αμεσα ψυχιατρο οσο προλαβαινεις βεβαια,OFF
3577,"η σεντα σεβαστηκε τον τραυματισμο της σουντε και δεν την επελεξε. η αφροδιτη που την διαλεξε βρηκε τον μπελα της απο τις ""κυριες"" για να ειναι ενταξει η ασπρη ομαδα επρεπε να μην παιξει καμια και να αποχωρησουν. σημερα οι κυριες μας διδασκουν και δικαιοσυνη #survivorgr",NOT
4703,@user εισαι ο μονος βολιωτης που συμπαθουμε,NOT
3775,ποσο ασχημα φαινονται τα εξτε ομως... ειδικα απο πισω τραγωδια... #shoppingstar,NOT
3019,"συν 1 εκατομμυριο φολοερς πηρε το κοριτσι σε 10 ωρες, αλλα αντικειμενικα αυτος ο κωλος το αξιζε.",OFF
