id,tweet,subtask_a
175,@user το ξερω οτι εισαι αφεντικο και μαλιστα πλουσιο . την ψευτομαγκια κρατα την για οταν σε συντριψουν οι εργατες καθαρμα .,OFF
5340,ενεργοποιειστε ρε παιδια το “share location” στα κινητα σας να ξερετε που ειναι ο καθενας στην τελικη #erwtasmeta,NOT
6852,δουρειοι ιπποι μπαινουν απο παντου στην χωρα με την μορφη φουσκωτων σκαφων με επιβατες καμια 40αρια αντρες 17- 30 ετων και μια εγκυο η 2 μικρα παιδακια για ασπιδα. αν μαθουν ολοι οι μεταναστες κτλ. οτι εδω εχει μονο επιστροφη πισω στην τουρκια δεν νομιζω να συνεχιστει αυτο .,NOT
1817,"τους ιδιους μαλακες μια ζωη, στα ιδια σκατα παλι... #εκλογες_2019",OFF
3494,"η παρης πολυ γλυκουλα φετος. την πρωτη φορα,μετα που διαγωνιστηκε αυτη,την επιασε λιγη κακια για τις αλλες. #shoppingstar",NOT
272,μην παρεις αυτο το ηλιθιο πουκαμισο λορρειν!#shoppingstar,NOT
8394,@user σου γαμω τη μανα παλιο πουτανα,OFF
9588,o mad max tom hardy σε σκουπισε ασχημινα. λεγε για αλλες οτι θες να τις δεις στις χειροτερες #gntmgr,OFF
645,μωρη γωγω δεν μπορεις να κρυφτεις καθολου... ποση κακια #shoppingstar,OFF
9796,"@user αν ντρεπεσαι μωρη λαθρολαγνα του κερατα, να μη κραταμε... στο καυλο κ καλο ψοφο.",OFF
5926,ο τσαουσοπουλος μουτρωσε που εκανε μαλακια και του την ειπε ο θεοφανους. θα σκοτωθουν αυτοι #xfactorgr,NOT
9092,ξανα διωχτε την σουζανα #gntmgr,NOT
3891,"τσιπρα, σιγα μην εισαι και ο λενιν γραφει ο λευτερης χαραλαμποπουλος",NOT
5081,στην ελλαδα ζουμε ολοι εχουμε εξαπατηθει οικτρα απο κομματα και κυβερνησεις αλλα πιο γλοιωδες ειδος απο τον εξαπατημενο που ομως επιμενει να γλυφει εκει που εφτυνε διοτι δεν εχει το αναστημα να παραδεχθει οτι πιαστηκε μαλακας δεν υπαρχει,OFF
4353,"@user επισης, να λεει τη β.μ. σκοπια, να ελεγχει η αστυνομια τα παν/μια, να γινει πολεμος στα εξαρχεια, να κοιμαται με ανοιχτα παραθυρα, να πεταχτουν οι προσφυγες στις χωματερες, να αποταμιευει σε off-shore ...",NOT
2876,"@user και ο ζουραρις ειπε μεσω tv οτι τα σκοπια μπορουν να ονομαστουν ""στα αρχιδια μου"".ας μου κανουν μηνυση,ηρωα θα με κανουν.δικηγορος ειμαι,εχω συνηθισει στην πιεση.",OFF
344,-τι θα μετραμε φετος το καλοκαιρι μετα τις 30/6; -παγωτα! -ταβορ μαλακες!,OFF
9336,η γυναικα του εμεινε χοιρα,NOT
4094,@user καλα μαλακας εισαι; τι εχει το μωρακι;,OFF
8319,@user αυτο μου θυμιζει τις χοντρες που ψευδονται και τρωνε. σιγα που δεν τρωνε χοιρινο βρε μαλακες. δουλεμα συννεφο.,OFF
10242,τελικα καταπιε το σαλιο της και λιποθυμησε η αλογομουρα. δεν υπαρχει αλλη εξηγηση #gntmgr,OFF
227,"μαρινα μου ακου αγαπη μου. λοιπον. ξερεις οτι σε λατρευω αλλα χαλαρωσε λιγο με το μιχαλη. τον κουβαλας παντου μαζι με το παιδι σου, αφου την ενοχλει γιατι δεν το καταλαβαινεις #gynaikaxwrisonoma",NOT
5875,τι λες μ@user@user@ σκουλε με το βυσμα σου; 'σταυρωστε με' ειναι. #gntmgr,OFF
10159,@user τι λες βρε λακαμα;φασιστας αυτος που σταματησε τους φασιστες;για γελια εισαι γελοιο υποκειμενο.θελει η κασιδιαρα να κρυφτει κ η χαρα δεν την αφηνει.αυτο εισαι.,OFF
6748,υπαρχει κ αυτη η ορθοδοξη εκκλησια (ευτυχως!) ; μητροπολιτης ιγνατιος για προσφυγες: χριστος σημαινει να περιθαλπεις οποιον ανθρωπο απ' οπου και αν ειναι ;,NOT
3401,"let’s ask τσιπουρα @user first: “ι ντοντ σπεεκ ινγλαντ” τι σημανει να εισαι μελος της swat team και αν το προτιμα.μετα ρωταω και τον γκομενο,αν και το υπογραφω is that οτι θα ξυσει his black balls laughing his ass off γυαλιζοντας τα οπλα του #ερχεται_πουτσα #ekloges2019",OFF
7082,βλεπω κι αλλη αποβολη να 'ρχεται #erwtasmeta,NOT
5988,ασταδιαλα καρακαξες... #gntmgr,NOT
5533,"@user αν εληγε το ματς θα ελεγα ειναι μαλακας οκ. αλλα αφου εχουν διαφορα τα ρολογια εκτελεις, big deal. εμενα προσωπικα δε θα με πειραζε αν γινοταν με εμας παντως. ο πραγματικος μαλακας ειναι ο λαρκιν που του την πασαρει τελευταια στιγμη για να μη χρεωθει το λαθος η το αστοχο σουτ.",OFF
3441,οι γυφτοι θα παρουν τα φραγκα.. θα πανε για το χαβαλε στις συγκεντρωσεις.. και την κυριακη θα πανε να πουλησουν καρπουζια... στη σμπουτσα τους οι #εκλογες2019 #ερχεται_πουτσα,OFF
6267,θελει κανεις καφε να τον γραψω στ αρχιδια μου,OFF
854,@user τραβα γαμησου λεω εγω,OFF
3923,@user μονο το 85 %ειναι μαζι τους. αφου εισαι ασχετος τι ασχολεισαι;,NOT
9632,θα τα παρατησω ολα και θα παω στο big brother #thevoicegr,NOT
3861,"@user αφου το λεει χασκογελωντας, προφανως οι αλλοι 2 ξεφτιλες του την ειπαν και αυτος την χρησιμοποιησε. εφοσον την χρησιμοποιει και γελαει ξερει οτι δεν ειναι καλη λεξη. τι την λεει; τεσπα ο τονι και ο σιμος ειναι σιγουρα ξεφτιλες. τιποτα παραπανω",OFF
8180,"βλεπω κοπελλες με τις μαντιλες, ευγενικες και τις χαιρομαι. στην εφορια ειδα μια νεαρη μουσουλμανα να ζηταει αφμ ξαναγραφοντας την δηλωση που ειχε γραψει λαθος ο μπαμπας της, με πολυ καλα ελληνικα. συχαθηκα ενα μουσουλμανο με χρυσες καδενες και τη γυναικα του με μπουρκα ολοσωμη",OFF
1734,"ενταξει το τερματισαμε στα πολιτικα, εφ' οσον ο θεοδωρακης συνεκρινε την προθεση ψηφου με τα σπερματοζωαρια. #giatinparea",NOT
6818,αυτο πανω στ σκαμπο πως γινεται να φαινεται στ αερα; δεν τ ειδα απο την αρχη #gntmgr,NOT
6614,"@user μπραβο. αυτο ακριβως αποδεικνυει οτι προκειται για προσφυγες και οχι οικονομικους μεταναστες. εφυγαν και τμηματα της μεσαιας ταξης απο τη συρια, πιθανοτατα πολλα χρονια πριν και το διαστημα αυτο εμειναν στην τουρκια. δεν καταλαβαινω γιατι πρεπει να ειναι ταλαιπωρημενοι.",NOT
1877,μπιλ πριν λιγες βδομαδες ''αν δεν βγει με την κατερινα και χωρισω θα φυγω για μονο την κατερινα ηθελα'' μπιλακο να θυμασαι το προηγουμενο σεναριοο #bill_xeftila #poweroflovegr,NOT
5108,η αννα ειναι σαν τη θεια απο το σικαγο #gntmgr,NOT
8178,ο ομορφο-μπατσος ρωταει τον πυροσβεστη αν το πτωμα που βρεθηκε ειχε χτυπηματα στο κεφαλι ‍ #erwtasmeta,NOT
1227,αρα εχεις προβλημα; ;ετσι ρια; ;τι κομπλεξικο ζωον εισαι; ; #survivorgr,OFF
7350,"ο χαρακτηρισμος ""καρα-μαλακας"" του ευαγγελου του μενδρινου στον @user συνιστα λιγακι ρατσισμο η μου φαινεται;",OFF
5016,"πασαρελα δεν κανει, φωτογραφιες καλες δεν βγαζει, τι σκατα επαγγελματιας ειναι η σουζανα κ την αποθεωνουν συνεχως #gntmgr",NOT
4860,"βλεπω το ποταμι #agriesmelisses και σκεφτομαι το πτωμα (της αννας που θα βρεθει αυριο #erwtasmeta . καλα , απ' την αρχη εχω κολλημα μ'αυτη τη σειρα.",NOT
9000,η ασημινα γιατι ειναι ομορφη σημερα; επειδη δε φοραει σουτιεν και φαινονται οι ρωγες της; ας βρουνε και ενα χορηγο για σουτιεν επιτελους #gntmgr,OFF
5568,συζητηση ζευγαριου -μπλα μπλα μπλα -μπλα μπλα μπλα -αχ.. - -μωρο μου.. -ναιιι -βρε αγαπη μου να σου κανω μια ερωτηση; -πες μου -απο το 1 μεχρι το 10 ποσο μαλακισμενο εισαι; -τεεεεεεεε;,OFF
3634,ας κανει οτι θελει η φωφη. εγω 30 ιουνιου παω θεσσαλονικη να δω το κοριτσι. να παει στο διαολο ο κουλης και ο τσιπρας,OFF
